gene_symbol	gene_entrez_id	reference_name	cds_start_min	cds_end_max
MRPL13	28998	8	120396103	120445093
MRPL14	64928	6	44113842	44116610
MRPL15	29088	8	54135283	54147718
MRPL16	54948	11	59806346	59810657
MRPL17	63875	11	6682117	6683295
MRPL18	29074	6	159790587	159798122
MRPL19	9801	2	75646807	75655284
MRPL2	51069	6	43054273	43059380
MRPL20	55052	1	1402082	1407216
MRPL21	219927	11	68891330	68903809
MRPL22	29093	5	154941110	154966896
MRPL23	6150	11	1947362	1956419
MRPL24	79590	1	156737397	156738703
MRPL27	51264	17	50368091	50373169
MRPL28	10573	16	367674	370217
MRPL3	11222	3	131462722	131502820
MRPL30	51263	2	99186203	99195704
MRPL32	64983	7	42932386	42937575
MRPL33	9553	2	27771777	27779555
MRPL34	64981	19	17305892	17306378
MRPL35	51318	2	86199490	86213648
MRPL36	64979	5	1798623	1798934
MRPL37	51253	1	54200243	54225381
MRPL38	64978	17	75898849	75904874
MRPL39	54148	21	25585706	25607474
MRPL4	51073	19	10252253	10259812
MRPL40	64976	22	19432554	19435961
MRPL41	64975	9	137552081	137552494
MRPL42	28977	12	93469285	93501220
MRPL43	84545	10	100979252	100987442
MRPL44	65080	2	223957472	223967033
MRPL45	84311	17	38297183	38322594
MRPL46	26589	15	88459612	88467376
MRPL47	57129	3	179588871	179604623
MRPL48	51642	11	73787971	73864369
MRPL49	740	11	65122346	65125871
MRPL50	54534	9	101390465	101398591
MRPL51	51258	12	6492270	6493135
MRPL52	122704	14	22829912	22834320
MRPL53	116540	2	74472118	74472659
MRPL54	116541	19	3762700	3767392
MRPL55	128308	1	228106759	228108259
MRPL57	78988	13	21176916	21177224
MRPL58	3396	17	75012686	75021004
MRPL9	65005	1	151760049	151763478
MRPS10	55173	6	42208288	42217848
MRPS11	64963	15	88467717	88477978
MRPS12	6183	19	38931294	38932699
MRPS14	63931	1	175014668	175023407
MRPS15	64960	1	36455787	36464274
MRPS16	51021	10	73250851	73252481
MRPS17	51373	7	55953195	55955177
MRPS18A	55168	6	43671761	43687778
MRPS18B	28973	6	30617865	30625796
MRPS18C	51023	4	83456077	83461196
MRPS2	51116	9	135500710	135504132
MRPS21	54460	1	150294366	150308227
MRPS22	56945	3	139344026	139357013
MRPS23	51649	17	57839782	57850009
MRPS24	64951	7	43866698	43869494
MRPS25	64432	3	15052440	15065193
MRPS26	64949	20	3046068	3047868
MRPS27	23107	5	72220908	72320220
MRPS28	28957	8	79918979	80030247
MRPS30	10884	5	44808962	44815201
MRPS31	10240	13	40729371	40771135
MRPS33	51650	7	141006429	141010632
MRPS34	65993	16	1772220	1773118
MRPS35	60488	12	27710843	27755449
MRPS36	92259	5	69217829	69229224
MRPS5	64969	2	95087356	95121790
MRPS6	64968	21	34073700	34142599
MRPS7	51081	17	75261900	75265922
MRPS9	64965	2	105038092	105099760
MRRF	92399	9	122270891	122322616
MRS2	57380	6	24403046	24423693
MRTFA	57591	22	40411389	40533634
MRTFB	57496	16	14140606	14261443
MRTO4	51154	1	19251835	19258829
MRVI1	10335	11	10576331	10693601
MS4A1	931	11	60462374	60468467
MS4A10	341116	11	60790335	60799908
MS4A12	54860	11	60497318	60507123
MS4A13	503497	11	60518083	60542574
MS4A14	84689	11	60396578	60417007
MS4A15	219995	11	60763733	60775714
MS4A2	2206	11	60088765	60095655
MS4A3	932	11	60061160	60070232
MS4A4A	51338	11	60280675	60308177
MS4A5	64232	11	60429674	60447758
MS4A6A	64231	11	60172157	60183204
MS4A6E	245802	11	60334895	60339954
MS4A7	58475	11	60383141	60393860
MS4A8	83661	11	60700860	60715413
MSANTD1	345222	4	3246654	3255964
MSANTD2	79684	11	124767175	124800379
MSANTD3	91283	9	100441938	100450965
MSANTD4	84437	11	106009534	106010916
MSC	9242	8	71842660	71844177
MSGN1	343930	2	17816518	17817099
MSH2	4436	2	47403191	47482948
MSH3	4437	5	80654727	80875861
MSH4	4438	1	75796985	75912886
MSH5	4439	6	31740466	31762530
MSH6	2956	2	47783233	47806859
MSI1	4440	12	120345590	120369090
MSI2	124540	17	57256742	57677027
MSL1	339287	17	40126203	40134368
MSL2	55167	3	136151146	136195112
MSL3	10943	X	11758263	11775078
MSLN	10232	16	762680	768732
MSMB	4477	10	46033421	46046236
MSMO1	6307	4	165333370	165341945
MSMP	692094	9	35753099	35754128
MSN	4478	X	65667841	65739892
MSR1	4481	8	16110084	16186207
MSRA	4482	8	10054516	10428311
MSRB1	51734	16	1939111	1943155
MSRB2	22921	10	23095608	23120861
MSRB3	253827	12	65278768	65463321
MSS51	118490	10	73424552	73428283
MST1	4485	3	49684027	49688690
MST1R	4486	3	49887306	49903608
MSTN	2660	2	190057257	190062595
MSTO1	55154	1	155610248	155614272
MSX1	4487	4	4859899	4863142
MSX2	4488	5	174724659	174729582
MT1A	4489	16	56638738	56639949
MT1B	4490	16	56651953	56653064
MT1E	4493	16	56625851	56626970
MT1F	4494	16	56658058	56659163
MT1G	4495	16	56666878	56667992
MT1H	4496	16	56669884	56670988
MT1HL1	645745	1	237004186	237004371
MT1M	4499	16	56632731	56633841
MT1X	4501	16	56682540	56684048
MT2A	4502	16	56608655	56609353
MT3	4504	16	56589590	56590948
MT4	84560	16	56565128	56568931
MTA1	9112	14	105420035	105470214
MTA2	9219	11	62593874	62601449
MTA3	57504	2	42568745	42753398
MTAP	4507	9	21802748	21862013
MTBP	27085	8	120445470	120523335
MTCH1	23787	6	36968902	36986172
MTCH2	23788	11	47618832	47642464
MTCL1	23255	18	8718450	8828945
MTCP1	4515	X	155065489	155066009
MTDH	92140	8	97644506	97724669
MTERF1	7978	7	91873593	91880082
MTERF2	80298	12	106977556	106978713
MTERF3	51001	8	96239490	96258689
MTERF4	130916	2	241095997	241102272
MTF1	4520	1	37815135	37857657
MTF2	22823	1	93079526	93137026
MTFMT	123263	15	65003061	65029612
MTFP1	51537	22	30425879	30428673
MTFR1	9650	8	65669952	65709043
MTFR1L	56181	1	25823104	25832025
MTFR2	113115	6	136231274	136249098
MTG1	92170	10	133394220	133420164
MTG2	26164	20	62193420	62201076
MTHFD1	4522	14	64388427	64458302
MTHFD1L	25902	6	150865822	151092555
MTHFD2	10797	2	74198641	74214241
MTHFD2L	441024	4	74158138	74301808
MTHFR	4524	1	11790679	11803513
MTHFS	10588	15	79845209	79896987
MTHFSD	64779	16	86532010	86555183
MTIF2	4528	2	55236647	55263857
MTIF3	219402	13	27435674	27440447
MTM1	4534	X	150592614	150671594
MTMR1	8776	X	150693530	150762728
MTMR10	54893	15	30941469	30991505
MTMR11	10903	1	149928866	149936646
MTMR12	54545	5	32229777	32312837
MTMR14	64419	3	9649583	9701972
MTMR2	8898	11	95835289	95923953
MTMR3	8897	22	29971059	30025800
MTMR4	9110	17	58491662	58516581
MTMR6	9107	13	25249231	25287246
MTMR7	9108	8	17299861	17413291
MTMR8	55613	X	64268536	64395362
MTMR9	66036	8	11284888	11322787
MTNR1A	4543	4	186533688	186555364
MTNR1B	4544	11	92969725	92982311
MTO1	25821	6	73461854	73500734
MTOR	2475	1	11107484	11259408
MTPAP	55149	10	30313608	30349274
MTPN	136319	7	135929925	135977099
MTR	4548	1	236795703	236897643
MTREX	23517	5	55308013	55424771
MTRF1	9617	13	41217114	41260906
MTRF1L	54516	6	152989894	153002684
MTRNR2L1	100462977	17	22524061	22524135
MTRNR2L10	100463488	X	55181919	55181993
MTRNR2L3	100462983	20	57358964	57359038
MTRNR2L4	100463285	16	3371815	3371901
MTRNR2L5	100463289	10	55599899	55599973
MTRNR2L6	100463482	7	142667230	142667304
MTRNR2L7	100288485	10	37601969	37602043
MTRNR2L8	100463486	11	10508151	10508225
MTRR	4552	5	7869133	7900057
MTSS1	9788	8	124552991	124727954
MTSS1L	92154	16	70663676	70685790
MTTP	4547	4	99564095	99622847
MTURN	222166	7	30135136	30157547
MTUS1	57509	8	17645925	17755806
MTUS2	23281	13	29024668	29503205
MTX1	4580	1	155208804	155213697
MTX2	10651	2	176269629	176337663
MTX3	345778	5	79983683	79991237
MUC1	4582	1	155186134	155192842
MUC12	10071	7	100969622	101018635
MUC13	56667	3	124908146	124934711
MUC15	143662	11	26561064	26567093
MUC16	94025	19	8848931	8981137
MUC17	140453	7	101020135	101058043
MUC20	200958	3	195721007	195733217
MUC21	394263	6	30983958	30988193
MUC22	100507679	6	31010706	31034937
MUC3A	4584	7	100949624	100967161
MUC4	4585	3	195747175	195811816
MUC5AC	4586	11	1157999	1200701
MUC5B	727897	11	1223123	1261607
MUC6	4588	11	1013455	1036654
MUC7	4589	4	70474021	70481877
MUCL1	118430	12	54854582	54858241
MUCL3	135656	6	30940999	30953116
MUL1	79594	1	20500689	20508023
MUM1	84939	19	1356389	1376575
MUM1L1	139221	X	106205432	106207522
MUS81	80198	11	65860753	65866051
MUSK	4593	9	110668904	110800987
MUSTN1	389125	3	52833323	52834947
MUT	4594	6	49431727	49459465
MUTYH	4595	1	45329305	45340253
MVB12A	93343	19	17420135	17424992
MVB12B	89853	9	126326929	126503262
MVD	4597	16	88652524	88663079
MVK	4598	12	109574822	109596576
MVP	9961	16	29830549	29847988
MX1	4599	21	41432070	41458780
MX2	4600	21	41376906	41408232
MXD1	4084	2	69915330	69938283
MXD3	83463	5	177307118	177311829
MXD4	10608	4	2250543	2261979
MXI1	4601	10	110207808	110284986
MXRA5	25878	X	3309715	3343832
MXRA7	439921	17	76677587	76710945
MXRA8	54587	1	1353300	1361262
MYADM	91663	19	53873529	53874497
MYADML2	255275	17	81940817	81941740
MYB	4602	6	135181513	135217979
MYBBP1A	10514	17	4538939	4555323
MYBL1	4603	8	66564696	66612837
MYBL2	4605	20	43667283	43716086
MYBPC1	4604	12	101595070	101685681
MYBPC2	4606	19	50432953	50466204
MYBPC3	4607	11	47331870	47352646
MYBPH	4608	1	203168658	203175754
MYBPHL	343263	1	109294238	109306990
MYC	4609	8	127736593	127740957
MYCBP	26292	1	38864669	38873304
MYCBPAP	84073	17	50508545	50531427
MYCL	4610	1	39897371	39901887
MYCN	4613	2	15940586	15946096
MYCT1	80177	6	152697902	152722252
MYD88	4615	3	38138661	38141285
MYDGF	56005	19	4658004	4670333
MYEF2	50804	15	48142907	48178236
MYEOV	26579	11	69295354	69296391
MYF5	4617	12	80717063	80719050
MYF6	4618	12	80707719	80708959
MYH1	4619	17	10492415	10516641
MYH10	4628	17	8475803	8623245
MYH11	4629	16	15703990	15838251
MYH13	8735	17	10300950	10364529
MYH14	79784	19	50210365	50309789
MYH15	22989	3	108381544	108529264
MYH2	4620	17	10521279	10547919
MYH3	4621	17	10628652	10655063
MYH4	4622	17	10443374	10466744
MYH6	4624	14	23382039	23407222
MYH7	4625	14	23412853	23433731
MYH7B	57644	20	34975494	35002187
MYH8	4626	17	10390453	10420226
MYH9	4627	22	36282667	36349235
MYL1	4632	2	210291045	210315041
MYL10	93408	7	101613474	101629117
MYL12A	10627	18	3252322	3255917
MYL12B	103910	18	3272898	3277936
MYL2	4633	12	110911076	110920528
MYL3	4634	3	46858243	46863389
MYL4	4635	17	47209422	47223041
MYL5	4636	4	678026	681993
MYL6	4637	12	56158401	56161414
MYL6B	140465	12	56153918	56157725
MYL7	58498	7	44138920	44141304
MYL9	10398	20	36544884	36549248
MYLIP	29116	6	16129322	16146750
MYLK	4638	3	123614104	123793840
MYLK2	85366	20	31819580	31833796
MYLK3	91807	16	46707703	46748192
MYLK4	340156	6	2671300	2749293
MYLPF	29895	16	30374857	30377899
MYMK	389827	9	133514635	133524843
MYMX	101929726	6	44217471	44217725
MYNN	55892	3	169774295	169786677
MYO10	4651	5	16666691	16935807
MYO15A	51168	17	18118800	18178869
MYO16	23026	13	108629844	109206835
MYO18A	399687	17	29074769	29166939
MYO18B	84700	22	25761092	26027677
MYO19	80179	17	36496250	36532537
MYO1A	4640	12	57028754	57048322
MYO1B	4430	2	191276895	191423959
MYO1C	4641	17	1465725	1492486
MYO1D	4642	17	32494758	32876871
MYO1E	4643	15	59137379	59372499
MYO1F	4542	19	8521527	8577308
MYO1G	64005	7	44962738	44978960
MYO1H	283446	12	109388718	109447181
MYO3A	53904	10	25952110	26211962
MYO3B	140469	2	170178287	170653120
MYO5A	4644	15	52313695	52528805
MYO5B	4645	18	49826470	50194792
MYO5C	55930	15	52193901	52295635
MYO6	4646	6	75817547	75915011
MYO7A	4647	11	77130634	77214695
MYO7B	4648	2	127559722	127637416
MYO9A	4649	15	71826579	72046562
MYO9B	4650	19	17101717	17211784
MYOC	4653	1	171635924	171652610
MYOCD	93649	17	12666188	12763643
MYOD1	4654	11	17719782	17721507
MYOF	26509	10	93306962	93482193
MYOG	4656	1	203083909	203085960
MYOM1	8736	18	3067261	3215222
MYOM2	9172	8	2050766	2144980
MYOM3	127294	1	24057363	24108635
MYORG	57462	9	34370798	34372942
MYOT	9499	5	137870651	137887384
MYOZ1	58529	10	73631929	73640016
MYOZ2	51778	4	119136525	119186199
MYOZ3	91977	5	150662941	150676874
MYPN	84665	10	68121438	68210454
MYPOP	339344	19	45890622	45901772
MYRF	745	11	61752744	61786142
MYRFL	196446	12	69825517	69958530
MYRIP	25924	3	39900816	40258165
MYSM1	114803	1	58659996	58700051
MYT1	4661	20	64198861	64240447
MYT1L	23040	2	1791866	1979776
MYZAP	100820829	15	57592034	57684497
MZB1	51237	5	139387764	139389855
MZF1	7593	19	58562071	58571388
MZT1	440145	13	72710321	72727601
MZT2A	653784	2	131484060	131492375
MZT2B	80097	2	130182282	130190625
N4BP1	9683	16	48542903	48609971
N4BP2	55728	4	40097340	40154236
N4BP2L1	90634	13	32402941	32428081
N4BP2L2	10443	13	32436381	32537026
N4BP3	23138	5	178119583	178122000
N6AMT1	29104	21	28876384	28885344
NAA10	8260	X	153929986	153934903
NAA11	84779	4	79325187	79325876
NAA15	80155	4	139301777	139388083
NAA16	79612	13	41311528	41375601
NAA20	51126	20	20017396	20033186
NAA25	80018	12	112029530	112108772
NAA30	122830	14	57390957	57409515
NAA35	60560	9	85942159	86021959
NAA38	84316	17	7856730	7866492
NAA40	79829	11	63939096	63954478
NAA50	80218	3	113721759	113745948
NAA60	79903	16	3443766	3484963
NAA80	24142	3	50296602	50299213
NAAA	27163	4	75914903	75940948
NAALAD2	10003	11	90134758	90191746
NAALADL1	10004	11	65045270	65058520
NAALADL2	254827	3	174859407	175803202
NAB1	4664	2	190659176	190690332
NAB2	4665	12	57089271	57094720
NABP1	64859	2	191678614	191685767
NABP2	79035	12	56224856	56229212
NACA	4666	12	56712537	56724520
NACA2	342538	17	61590532	61591179
NACAD	23148	7	45080508	45088893
NACC1	112939	19	13135207	13138405
NACC2	138151	9	136011515	136050520
NADK	65220	1	1752903	1765405
NADK2	133686	5	36195143	36241797
NADSYN1	55191	11	71453296	71501351
NAE1	8883	16	66803008	66830898
NAF1	92345	4	163126978	163166726
NAGA	4668	22	42060278	42070296
NAGK	55577	2	71068545	71078507
NAGLU	4669	17	42536272	42544237
NAGPA	51172	16	5025477	5033913
NAGS	162417	17	44004663	44008600
NAIF1	203245	9	128063427	128067100
NAIP	4671	5	70970103	71024372
NALCN	259232	13	101055294	101399125
NAMPT	10135	7	106251082	106284883
NANOG	79923	12	7789614	7795094
NANOGNB	360030	12	7765285	7773850
NANOGP8	388112	15	35084192	35085109
NANOS1	340719	10	119029801	119030679
NANOS2	339345	19	45914276	45914692
NANOS3	342977	19	13877248	13880502
NANP	140838	20	25615924	25623947
NANS	54187	9	98056808	98083054
NAP1L1	4673	12	76048428	76074218
NAP1L2	4674	X	73213109	73214491
NAP1L3	4675	X	93671783	93673303
NAP1L4	4676	11	2949258	2979219
NAP1L5	266812	4	88697205	88697753
NAPA	8775	19	47488287	47514939
NAPB	63908	20	23377375	23421401
NAPEPLD	222236	7	103103428	103128775
NAPG	8774	18	10526102	10550219
NAPRT	93100	8	143574837	143578317
NAPSA	9476	19	50358552	50365620
NARF	26502	17	82458803	82488156
NARS	4677	18	57601651	57621716
NARS2	79731	11	78436669	78574487
NASP	4678	1	45584146	45618140
NAT1	9	8	18216893	18222919
NAT10	55226	11	34108225	34146191
NAT14	57106	19	55485708	55486955
NAT16	375607	7	101172078	101174806
NAT2	10	8	18400003	18400875
NAT8	9027	2	73640944	73641627
NAT8L	339983	4	2059511	2064126
NAT9	26151	17	74771723	74775712
NAV1	89796	1	201648668	201819931
NAV2	89797	11	19350952	20118257
NAV3	89795	12	77831461	78210516
NAXD	55739	13	110615591	110638527
NAXE	128240	1	156591804	156594083
NBAS	51594	2	15167047	15561303
NBDY	550643	X	56729353	56729559
NBEA	26960	13	34942820	35670990
NBEAL1	65065	2	203016384	203217353
NBEAL2	23218	3	46979861	47009319
NBL1	4681	1	19643311	19657128
NBN	4683	8	89935581	89984560
NBPF10	100132406	1	146066317	146144768
NBPF11	200030	1	148103895	148127002
NBPF12	149013	1	146960143	146994574
NBPF15	284565	1	144423012	144440002
NBPF19	101060226	1	149475932	149554737
NBPF20	100288142	1	145291525	145393728
NBPF3	84224	1	21445086	21483385
NBPF4	148545	1	108223704	108243760
NBPF6	653149	1	108450601	108470637
NBPF9	400818	1	149055655	149082138
NBR1	4077	17	43175799	43210073
NCALD	83988	8	101689308	101719628
NCAM1	4684	11	112961612	113275386
NCAM2	4685	21	20998563	21537956
NCAN	1463	19	19216953	19249910
NCAPD2	9918	12	6495098	6531411
NCAPD3	23310	11	134152943	134223925
NCAPG	64151	4	17811077	17843424
NCAPG2	54892	7	158631665	158701898
NCAPH	23397	2	96335829	96373350
NCAPH2	29781	22	50508337	50523374
NCBP1	4686	9	97633881	97671198
NCBP2	22916	3	196937010	196942502
NCBP2-AS2	152217	3	196942716	196943015
NCBP2L	392517	X	107794220	107794681
NCBP3	55421	17	3813043	3846222
NCCRP1	342897	19	39196982	39200755
NCDN	23154	1	35558190	35565662
NCEH1	57552	3	172633474	172711079
NCF1	653361	7	74774031	74789159
NCF2	4688	1	183556117	183590328
NCF4	4689	22	36861171	36877822
NCK1	4690	3	136928001	136948452
NCK2	8440	2	105855063	105893175
NCKAP1	10787	2	182925701	183038098
NCKAP1L	3071	12	54497789	54542684
NCKAP5	344148	2	132673288	133517525
NCKAP5L	57701	12	49791838	49804043
NCKIPSD	51517	3	48674543	48685806
NCL	4691	2	231455190	231464352
NCLN	56926	19	3186030	3207687
NCMAP	400746	1	24595430	24605746
NCOA1	8648	2	24658677	24768390
NCOA2	10499	8	70113631	70216744
NCOA3	8202	20	47622247	47653416
NCOA4	8031	10	46006591	46027464
NCOA5	57727	20	46062299	46079423
NCOA6	23054	20	34715321	34782354
NCOA7	135112	6	125815354	125928770
NCOR1	9611	17	16032295	16194568
NCOR2	9612	12	124325401	124495250
NCR1	9437	19	54906187	54912870
NCR2	9436	6	41335876	41350863
NCR3	259197	6	31589066	31592720
NCR3LG1	374383	11	17351969	17372511
NCS1	23413	9	130172663	130226486
NCSTN	23385	1	160343396	160358270
NDC1	55706	1	53767969	53838260
NDC80	10403	18	2572985	2616573
NDE1	54820	16	15664778	15724250
NDEL1	81565	17	8444271	8467022
NDFIP1	80762	5	142108974	142144673
NDFIP2	54602	13	79481203	79551119
NDN	4692	15	23686251	23687216
NDNF	79625	4	121036263	121045836
NDOR1	27158	9	137205777	137216415
NDP	4693	X	43949798	43958644
NDRG1	10397	8	133238877	133284310
NDRG2	57447	14	21017595	21070850
NDRG3	57446	20	36653519	36721734
NDRG4	65009	16	58464430	58511575
NDST1	3340	5	150521254	150553331
NDST2	8509	10	73802450	73808387
NDST3	9348	4	118053910	118255711
NDST4	64579	4	114827815	115077035
NDUFA1	4694	X	119871911	119876533
NDUFA10	4705	2	239961117	240025300
NDUFA11	126328	19	5892916	5903707
NDUFA12	55967	12	94971439	95003679
NDUFA13	51079	19	19516238	19528125
NDUFA2	4695	5	140645586	140647582
NDUFA3	4696	19	54102878	54106901
NDUFA4	4697	7	10933635	10940056
NDUFA4L2	56901	12	57235562	57237084
NDUFA5	4698	7	123542118	123557794
NDUFA7	4701	19	8311504	8321357
NDUFA8	4702	9	122144240	122159676
NDUFA9	4704	12	4649126	4687107
NDUFAB1	4706	16	23582283	23596289
NDUFAF1	51103	15	41387443	41397058
NDUFAF2	91942	5	60945255	61152954
NDUFAF3	25915	3	49022144	49023171
NDUFAF4	29078	6	96891103	96897800
NDUFAF5	79133	20	13785068	13817209
NDUFAF6	137682	8	95025008	95057936
NDUFAF7	55471	2	37231705	37248349
NDUFAF8	284184	17	81239363	81241015
NDUFB1	4707	14	92116192	92121776
NDUFB10	4716	16	1959624	1961905
NDUFB11	54539	X	47142316	47144678
NDUFB2	4708	7	140696744	140704933
NDUFB3	4709	2	201078882	201085614
NDUFB4	4710	3	120596359	120602269
NDUFB5	4711	3	179604815	179624039
NDUFB6	4712	9	32553875	32573059
NDUFB7	4713	19	14566132	14571999
NDUFB8	4714	10	100523836	100529850
NDUFB9	4715	8	124539186	124549891
NDUFC1	4717	4	139292549	139295797
NDUFC2	4718	11	78069872	78079743
NDUFC2-KCTD14	100532726	11	78017235	78079743
NDUFS1	4719	2	206124184	206159132
NDUFS2	4720	1	161202385	161214192
NDUFS3	4722	11	47579091	47584480
NDUFS4	4724	5	53560662	53683220
NDUFS5	4725	1	39028724	39034495
NDUFS6	4726	5	1801417	1815915
NDUFS7	374291	19	1383926	1395487
NDUFS8	4728	11	68032151	68036592
NDUFV1	4723	11	67607004	67612457
NDUFV2	4729	18	9102743	9134278
NDUFV3	4731	21	42893333	42909020
NEB	4703	2	151485759	151733155
NEBL	10529	10	20785746	21173832
NECAB1	64168	8	90791886	90955511
NECAB2	54550	16	83968648	84002345
NECAB3	63941	20	33657828	33674351
NECAP1	25977	12	8082288	8096089
NECAP2	55707	1	16440761	16458995
NECTIN1	5818	11	119638097	119728552
NECTIN2	5819	19	44846525	44888378
NECTIN3	25945	3	111072017	111193378
NECTIN4	81607	1	161072660	161089295
NEDD1	121441	12	96907611	96952052
NEDD4	4734	15	55829896	55993554
NEDD4L	23327	18	58044660	58396268
NEDD8	4738	14	24217126	24232266
NEDD9	4739	6	11185161	11306002
NEFH	4744	22	29480262	29490702
NEFL	4747	8	24952809	24956514
NEFM	4741	8	24913793	24918605
NEGR1	257194	1	71407445	72282493
NEIL1	79661	15	75348905	75355033
NEIL2	252969	8	11771447	11786272
NEIL3	55247	4	177309953	177362470
NEK1	4750	4	169394509	169602629
NEK10	152110	3	27111271	27352881
NEK11	79858	3	131029708	131349775
NEK2	4751	1	211658656	211675478
NEK3	4752	13	52133141	52156190
NEK4	6787	3	52711776	52770745
NEK5	341676	13	52065406	52127481
NEK6	10783	9	124257696	124350946
NEK7	140609	1	198232580	198319521
NEK8	284086	17	28728813	28741986
NEK9	91754	14	75084563	75126920
NELFA	7469	4	1983318	2008991
NELFB	25920	9	137255365	137272927
NELFCD	51497	20	58981255	58994675
NELFE	7936	6	31952300	31958445
NELL1	4745	11	20669723	21575021
NELL2	4753	12	44508933	44913835
NEMF	9147	14	49784635	49852752
NEMP1	23306	12	57059878	57078744
NEMP2	100131211	2	190509188	190534654
NENF	29937	1	212432943	212446005
NEO1	4756	15	73052675	73302695
NEPRO	25871	3	113005535	113019646
NES	10763	1	156669321	156677263
NET1	10276	10	5412692	5456993
NETO1	81832	18	72749027	72867290
NETO2	81831	16	47083220	47143611
NEU1	4758	6	31859718	31862775
NEU2	4759	2	233032671	233035056
NEU3	10825	11	74989060	75006491
NEU4	129807	2	241811428	241817047
NEURL1	9148	10	103494387	103590371
NEURL1B	54492	5	172641406	172686924
NEURL2	140825	20	45888757	45890990
NEURL3	93082	2	96498243	96505285
NEURL4	84461	17	7316122	7329311
NEUROD1	4760	2	181677789	181678859
NEUROD2	4761	17	39605450	39606598
NEUROD4	58158	12	55026439	55027434
NEUROD6	63974	7	31338254	31339267
NEUROG1	4762	5	135534976	135535689
NEUROG2	63973	4	112514656	112515474
NEUROG3	50674	10	69572398	69573042
NEXMIF	340533	X	74739404	74745649
NEXN	91624	1	77916106	77942828
NF1	4763	17	31095309	31374154
NF2	4771	22	29603998	29694801
NFAM1	150372	22	42385160	42432356
NFASC	23114	1	204944315	205016538
NFAT5	10725	16	69566301	69695370
NFATC1	4772	18	79396224	79527576
NFATC2	4773	20	51391395	51562628
NFATC2IP	84901	16	28951011	28963862
NFATC3	4775	16	68085681	68226470
NFATC4	4776	14	24367054	24377704
NFE2	4778	12	54292373	54295247
NFE2L1	4779	17	48051118	48059640
NFE2L2	4780	2	177230784	177264575
NFE2L3	9603	7	26152498	26185782
NFE4	58160	7	102973556	102976214
NFIA	4774	1	61077625	61455378
NFIB	4781	9	14088196	14398630
NFIC	4782	19	3359682	3462768
NFIL3	4783	9	91409345	91410733
NFIX	4784	19	12995837	13090369
NFKB1	4790	4	102525518	102616593
NFKB2	4791	10	102395959	102402375
NFKBIA	4792	14	35402012	35404643
NFKBIB	4793	19	38900032	38908831
NFKBID	84807	19	35888558	35897655
NFKBIE	4794	6	44259218	44265762
NFKBIL1	4795	6	31547694	31558610
NFKBIZ	64332	3	101849628	101859370
NFRKB	4798	11	129864724	129892887
NFS1	9054	20	35669621	35699287
NFU1	27247	2	69396245	69437421
NFX1	4799	9	33290572	33369977
NFXL1	152518	4	47848162	47914202
NFYA	4800	6	41079089	41097409
NFYB	4801	12	104119736	104135452
NFYC	4802	1	40738843	40770827
NGB	58157	14	77266535	77270936
NGDN	25983	14	23469715	23478025
NGEF	25791	2	232879488	232974889
NGF	4803	1	115286069	115286794
NGFR	4804	17	49495417	49513008
NGLY1	55768	3	25719459	25789864
NGRN	51335	15	90265712	90271787
NHEJ1	79840	2	219076380	219158361
NHLH1	4807	1	160370731	160371132
NHLH2	4808	1	115837964	115838371
NHLRC1	378884	6	18121418	18122605
NHLRC2	374354	10	113854872	113908535
NHLRC3	387921	13	39038639	39047925
NHLRC4	283948	16	568047	568418
NHP2	55651	5	178149712	178153816
NHS	4810	X	17375757	17732463
NHSL1	57224	6	138424080	138571910
NHSL2	340527	X	71911087	72143573
NICN1	84276	3	49424832	49429238
NID1	4811	1	235977866	236065078
NID2	22795	14	52005485	52068993
NIF3L1	60491	2	200891943	200903677
NIFK	84365	2	121727723	121736849
NIM1K	167359	5	43245775	43280728
NIN	51199	14	50725871	50822055
NINJ1	4814	9	93124907	93134216
NINJ2	4815	12	565234	663497
NINL	22981	20	25453450	25526586
NIP7	51388	16	69339829	69341651
NIPA1	123606	15	22786656	22824238
NIPA2	81614	15	22851731	22866846
NIPAL1	152519	4	48016839	48036171
NIPAL2	79815	8	98192977	98294136
NIPAL3	57185	1	24419547	24469184
NIPAL4	348938	5	157460134	157472959
NIPBL	25836	5	36953696	37064891
NIPSNAP1	8508	22	29555934	29581081
NIPSNAP2	2631	7	55964609	55999071
NIPSNAP3A	25934	9	104747792	104759337
NIPSNAP3B	55335	9	104764240	104773072
NISCH	11188	3	52455641	52492481
NIT1	4817	1	161118176	161124154
NIT2	56954	3	100334791	100355267
NKAIN1	79570	1	31181702	31239546
NKAIN2	154215	6	123804200	124823228
NKAIN4	128414	20	63241492	63254449
NKAP	79576	X	119925219	119943604
NKAPD1	55216	11	112075574	112082971
NKAPL	222698	6	28259371	28260579
NKD1	85407	16	50548553	50633780
NKD2	85409	5	1009057	1038372
NKG7	4818	19	51371776	51372534
NKIRAS1	28512	3	23893094	23910903
NKIRAS2	28511	17	42021577	42023892
NKRF	55922	X	119589351	119603489
NKTR	4820	3	42601006	42645974
NKX1-2	390010	10	124447428	124449942
NKX2-1	7080	14	36517277	36520128
NKX2-2	4821	20	21511922	21513668
NKX2-3	159296	10	99533131	99535720
NKX2-4	644524	20	21395910	21397398
NKX2-5	1482	5	173232568	173235082
NKX2-8	26257	14	36580901	36582388
NKX3-1	4824	8	23681220	23682888
NKX3-2	579	4	13541992	13544413
